Date,Have?,Entered?,ESTC#,Subject,Title,Imprint,Author1,Author2,Author3,Author4,Editor,Translator,Printer1,PrinterLoc 1,Printer2,PrinterLoc 2,Engraver1,Engraver1 Loc,Engraver2,Engraver3,Engraver4,Illustrator1,Illustrator2,Illustrator3,Bookseller 1,SaleShop 1,ShopLoc 1,Bookseller 2,SaleShop2,ShopLoc 2,Bookseller 3,SaleShop 3,ShopLoc 3,Bookseller 4,SaleShop 4,ShopLoc 4,Bookseller 5,SaleShop 5,ShopLoc 5,Bookseller 6,SaleShop 6,ShopLoc 6,Bookseller 7,SaleShop 7,ShopLoc 7,Bookseller 8,SaleShop 8,ShopLoc 8,Bookseller 9,SaleShop 9,ShopLoc 9,Bookseller 10,SaleShop 10,ShopLoc 10,Bookseller 11,Sale Shop 11,ShopLoc 11,Bookseller 12,Sale Shop 12,ShopLoc 12,Bookseller 13,Sale Shop 13,ShopLoc 13,Bookseller 14,Sale Shop 14,ShopLoc 14,Bookseller 15,Sale Shop 15,ShopLoc 15,Bookseller 16,Sale Shop 16,ShopLoc 16,Bookseller 17,Sale Shop 17,ShopLoc 17,Bookseller 18,Sale Shop 18,ShopLoc 18,Bookseller 19,Sale Shop 19,ShopLoc 19,RefSource,Library,Format,# Subs,# Copies,# Women
1673,x,x,R7330,Atlas/History/Geography,britannia or a geographical description of england scotland and ireland,London,Richard Blome,,,,,,Thomas Roycroft,Charterhouse Yard: London,,,John Speed,,,,,John Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,Folger Shakespeare Library,2mo,811,,5
1677,x,x,R473650,Travel/Natural History,the natural history of oxfordshire,Oxford,Robert Plot,,,,,,Printers at Sheldonian Theater,Sheldonian Theater: Oxford,Simon Miller 1,St Paul's Churchyard: London,Michael Burghers,,,,,,,,Booksellers in Sheldonian Theater,,Sheldonian Theater: Oxford,Simon Miller,The Star,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,Getty Research Institute,2mo,170,,0
1680,x,,R32963,Travel/Natural History,plantarum historiae universalis oxoniensis,Oxford,Robert Morison,,,,,,Printers at Sheldonian Theater,Sheldonian Theater: Oxford,,,Hubertus Van Otteren,London,Robert White,Abraham Brootling,Frederick Hendrick van Hove,Vaughan,D Loggan,Michael Burghers,Booksellers in Sheldonian Theater,,Sheldonian Theater: Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R10,Biblioteca Digital del Real Jardin Botanico de Madrid,2mo,,,
1680,x,x,R175691,Atlas/History/Geography,the english atlas,Oxford,Moses Pitt,,,,,,Printers at Sheldonian Theater,Sheldonian Theater: Oxford,Moses Pitt,St Paul's Churchyard: London,,,,,,,,,Moses Pitt,The Angel,St Paul's Churchyard: London,Booksellers in Sheldonian Theater,,Sheldonian Theater: Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,University of Michigan,2mo,803,,6
1681,x,x,R20507,Anatomy/Medicine,a treatise of muscular dissection,London,John Brown,,,,,,Thomas Newcombe,Savoy: London,,,Nicholas Yeates,,Robert White,,,,,,John Brown,The Chirugeon's Arms,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,University of Michigan,2mo,254,276,0
1682,x,x,R1222,Almanac,a compleat ephemeris,London,Thomas Streete,,,,,,Henry Hill 2,Southwark: London,,,,,,,,,,,Robert Morden,The Atlas,Cornhill: London,John Oliver,The Eagle & Child,Ludgate Hill: London,James Atkinson,The Cherry Garden Stairs,St Savories Dock: London,John Thornton,The Map & Dial,Tower Hill: London,John Seller,The Mariner's Compass & Hour Glass,Wapping: London,John Bullfinch,,London,William Fisher,At the Gate,Tower Hill: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,Oxford University,2mo,30,,0
1682,x,x,R177689,Botany,the anatomy of plants with an idea of a philosophical history of plants and several other lectures read before the royal society,Oxford,Nehemiah Grew,,,,,,William Rawlins,Pater Noster Row: London,,,,,,,,,,,Henry Faithorne,The Rose,St Paul's Churchyard: London,John Kersey,The Rose,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Missouri Botanical Garden,2mo,5,,0
1686,x,x,R219020,Botany,historia plantarum,London,John Ray,,,,,,Mary Clarke,Aldersgate Street: London,Henry Faithorne,St Paul's Churchyard: London,Samuel Smith,(Printer 3),Benjamin Walford,(Printer 4),,,,,Henry Faithorne,The Rose,St Paul's Churchyard: London,John Kersey,The Rose,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,Smithsonian Library,2mo,18,,0
1686,x,x,R21986,Travel/Natural History,natural history of staffordshire,Oxford,Robert Plot,,,,,,Printers at Sheldonian Theater,Sheldonian Theater: Oxford,,,,,,,,,,,Booksellers in Sheldonian Theater,,Sheldonian Theater: Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Lyon Public Library,2mo,603,745,6
1686,x,x,R178098,Astronomy,clavis horologiae or a key to the whole art of arithmetical dyalling,London,John Holwell,Francis Hall,,,,,William Bonny,London,Guillaume Street,Liege: Belgium,,,,,,,,,Thomas Howkins,George Yard,Lombard Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,University College London,4to,48,,0
1691,x,x,R42059,Anatomy/Medicine,anglo britanni de thermis britannicus tractacus accesserunt observationes hydrostaticae,London,Thomas Guidott,,,,,,Francis Leech,London,,,,,,,,,,,Samuel Smith,The Princes Arms,St Paul's Churchyard: London,Brabazon Aylmer,The Three Pigeons,Cornhill: London,Henry Sykes,The Golden Dragon,Leaden Hall Street: London,Hearne,,Warwick Lane: London,William Leigh,The Green Dragon & Bell,Fleet Street: London,William Canning,Vine Court,Grays Inn: London,Israel Harrison,The Star,Lincolns Inn: London,William Powell,Holborn Court,Grays Inn: London,Samuel Doody,The Two Pestles & Mortars,The Strand: London,Thomas Gilmore,The Queens Arms,Covent Garden: London,Hemming,,St Martins Lane: London,Richard Brigham,The Bagnio,Long Acre: London,Daniel Malthus,The Mortar,Pall Mall: London,Thomas Ford,,Bloomsbury: London,Richmond,St Johns Street,Smithfield: London,Thomas Jones,The Grasshopper,Westminster Hall: London,Abraham Maunser,The Spur Inn,Southwell: London,George West,,Oxford,William Graves I,Regent Walk,Cambridge,R6,The British Library,4to,38,,0
1691,x,x,R42059,Anatomy/Medicine,anglo britanni de thermis britannicus tractacus accesserunt observationes hydrostaticae,London,Thomas Guidott,,,,,,Francis Leech,London,,,,,,,,,,,Richard Millechamp,,Broad Street: Bristol,Henry Moor,,Bath,Edward Woolmar,,Bath,Charles Childe,,Bath,Thomas Gibbs,,Bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,4to,38,,0
1692,x,x,P1696,Agriculture/Arts/Manufactures,collection for improvement of husbandry and trade,London,John Houghton,,,,,,Randal Taylor,Stationers Hall: London,,,,,,,,,,,Joseph Hindmarsh,The Golden Ball,Royal Exchange: London,Samuel Smith,The Princes Arms,St Paul's Churchyard: London,Francis Saunders,The Blue Anchor,The Strand: London,William Hensman,The King's Head,Westminster Hall: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,2mo,28,,0
