Movie,Author,linkified
10 Things I Hate About You ,"Karen McCullah Lutz,Kirsten Smith,William Shakespeare",10-Things-I-Hate-About-You.html
12 ,Lawrence Bridges,12.html
17 Again ,Jason Filardi,17-Again.html
30 Minutes or Less ,"Michael Diliberti,Matthew Sullivan",30-Minutes-or-Less.html
48 Hrs. ,"Steven E. De Souza,Walter Hill,Roger Spottiswoode,Larry Gross,Jeb Stuart",48-Hrs..html
50-50 ,Will Reiser,50-50.html
500 Days of Summer ,"Scott Neustadter,Michael H. Weber",500-Days-of-Summer.html
A Serious Man ,"Joel Coen,Ethan Coen",A-Serious-Man.html
Ace Ventura: Pet Detective ,"Jack Bernstein,Tom Shadyac,Jim Carrey",Ace-Ventura:-Pet-Detective.html
Adaptation ,"Charlie Kaufman,Donald Kaufman",Adaptation.html
"Addams Family, The ","Charles Addams,Caroline Thompson","Addams-Family,-The.html"
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The ",Earl Mac Rauch,"Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html"
After School Special ,David H. Steinberg,After-School-Special.html
Airplane ,"Jim Abrahams, David Zucker,Jerry Zucker",Airplane.html
Airplane 2: The Sequel ,Ken Finkleman,Airplane-2:-The-Sequel.html
Aladdin ,"Roger Allers,Ron Clements",Aladdin.html
All About Steve ,Kim Barker,All-About-Steve.html
Almost Famous ,Cameron Crowe,Almost-Famous.html
American Graffiti ,"George Lucas,Gloria Katz,Willard Huyck",American-Graffiti.html
American Outlaws ,"Roderick Taylor,John Rogers",American-Outlaws.html
American Pie ,Adam Herz,American-Pie.html
"American President, The ",Aaron Sorkin,"American-President,-The.html"
American Splendor ,"Robert Pulcini,Shari Springer Berman",American-Splendor.html
American Werewolf in London ,John Landis,American-Werewolf-in-London.html
Analyze That ,"Peter Steinfeld,Harold Ramis,Peter Tolan,Kenneth Longeran",Analyze-That.html
Analyze This ,"Peter Tolan,Harold Ramis,Kenneth Lonergan",Analyze-This.html
Annie Hall ,"Woody Allen,Marshall Brickman",Annie-Hall.html
Antz ,"Todd Alcott,Chris Weitz,Paul Weitz",Antz.html
"Apartment, The ","Billy Wilder,I.A.L Diamond","Apartment,-The.html"
April Fool's Day ,Danilo Bach,April-Fool's-Day.html
Army of Darkness ,"Sam Raimi,Ivan Raimi",Army-of-Darkness.html
Arsenic and Old Lace ,"Julius J. Epstein,Philip G. Epstein,Joseph Kesselring",Arsenic-and-Old-Lace.html
Arthur ,Peter Baynham,Arthur.html
"Artist, The ",Michel Hazanavicius,"Artist,-The.html"
As Good As It Gets ,"Mark Andrus,James L. Brooks",As-Good-As-It-Gets.html
Austin Powers - International Man of Mystery ,Mike Myers,Austin-Powers---International-Man-of-Mystery.html
Austin Powers - The Spy Who Shagged Me ,Mike Myers,Austin-Powers---The-Spy-Who-Shagged-Me.html
Authors Anonymous ,David Congalton,Authors-Anonymous.html
Bachelor Party ,"Neal Israel,Pat Proft,Bob Israel",Bachelor-Party.html
Back to the Future ,"Robert Zemeckis,Bob Gale",Back-to-the-Future.html
Back to the Future II & III ,Bob Gale,Back-to-the-Future-II-&-III.html
"Back-up Plan, The ",Kate Angelo,"Back-up-Plan,-The.html"
Bad Boys ,"Michael Barrie,Jim Mulholland,Doug Richardson",Bad-Boys.html
Bad Santa ,"Glenn Ficarra,John Requa",Bad-Santa.html
Bad Teacher ,"Lee Eisenberg,Gene Stupnitsky",Bad-Teacher.html
Bamboozled ,Spike Lee,Bamboozled.html
Barton Fink ,"Joel Coen,Ethan Coen",Barton-Fink.html
"Battle of Shaker Heights, The ",Erica Beeney,"Battle-of-Shaker-Heights,-The.html"
Bean ,"Richard Curtist,Robin Briscoll",Bean.html
Beavis and Butt-head Do America ,"Mike Judge,Joe Stillman",Beavis-and-Butt-head-Do-America.html
Beginners ,Mike Mills,Beginners.html
Being Human ,Bill Forsyth,Being-Human.html
Being John Malkovich ,Charlie Kaufman,Being-John-Malkovich.html
Being There ,"Jerry Kosinski,Robert C. Jones",Being-There.html
Benny & Joon ,"Barry Berman,Lesley McNeil",Benny-&-Joon.html
"Best Exotic Marigold Hotel, The ",Ol Parker,"Best-Exotic-Marigold-Hotel,-The.html"
Big ,"Gary Ross,Anne Spielberg",Big.html
Big Fish ,"Daniel Wallace,John August",Big-Fish.html
"Big Lebowski, The ","Joel Coen,Ethan Coen","Big-Lebowski,-The.html"
"Big White, The ",Collin Friesen,"Big-White,-The.html"
Birthday Girl ,"Tom Butterworth,Jez Butterworth",Birthday-Girl.html
"Blast from the Past, The ","Bill Kelly,Hugh Wilson","Blast-from-the-Past,-The.html"
"Blues Brothers, The ","John Landis,Dan Aykroyd","Blues-Brothers,-The.html"
Bonfire of the Vanities ,Michael Cristofer,Bonfire-of-the-Vanities.html
Bottle Rocket ,"Owen Wilson,Wes Anderson",Bottle-Rocket.html
"Bounty Hunter, The ",Sarah Thorp,"Bounty-Hunter,-The.html"
Brazil ,"Terry Gilliam,Charles McKeown",Brazil.html
"Breakfast Club, The ",John Hughes,"Breakfast-Club,-The.html"
Breaking Away ,Steve Tesich,Breaking-Away.html
Bridesmaids ,Annie Mumolo,Bridesmaids.html
Broadcast News ,James L. Brooks,Broadcast-News.html
